q_m3_h,y_cm,slope_m_m,group,slope_perc,q_m3_s,y_m,area,perimeter,radius,radius.root,vel,c.exp,n.Manning,m.Kutter,s.Bazin,Froude,n.Manning.norm,m.Kutter.norm,s.Bazin.norm,tempV
6,3.2,0.01,g03,1.0,0.002,0.032,0.003,0.15,0.018,0.135,0.606,44.712,0.011,0.167,0.128,1.081,1.042,1.05,1.073,0.61
7,3.4,0.01,g03,1.0,0.002,0.034,0.003,0.154,0.019,0.138,0.665,48.26,0.011,0.148,0.111,1.151,0.971,0.926,0.927,0.66
8,3.8,0.01,g03,1.0,0.002,0.038,0.003,0.162,0.02,0.142,0.68,47.876,0.011,0.155,0.116,1.114,0.988,0.97,0.972,0.68
1,2.6,0.0,g03,0.05,0.0,0.026,0.002,0.138,0.016,0.127,0.124,43.646,0.012,0.164,0.126,0.246,1.045,1.031,1.059,0.12
2,3.2,0.0,g03,0.05,0.001,0.032,0.003,0.15,0.018,0.135,0.202,66.652,0.008,0.068,0.041,0.36,0.699,0.425,0.346,0.2
3,4.0,0.0,g04,0.05,0.001,0.04,0.003,0.166,0.021,0.144,0.242,75.258,0.007,0.047,0.022,0.387,0.632,0.297,0.188,0.24
4,4.4,0.0,g04,0.05,0.001,0.044,0.004,0.174,0.022,0.147,0.294,89.047,0.006,0.018,-0.003,0.447,0.538,0.114,-0.028,0.29
5,5.1,0.0,g04,0.05,0.001,0.051,0.004,0.188,0.023,0.153,0.317,92.717,0.006,0.012,-0.009,0.448,0.523,0.075,-0.079,0.32
6,5.4,0.0,g04,0.05,0.002,0.054,0.005,0.194,0.024,0.155,0.359,103.735,0.005,-0.006,-0.025,0.493,0.469,-0.035,-0.209,0.36
7,6.0,0.0,g04,0.05,0.002,0.06,0.005,0.206,0.025,0.158,0.377,106.48,0.005,-0.01,-0.029,0.491,0.461,-0.06,-0.243,0.38
8,6.2,0.0,g04,0.05,0.002,0.062,0.005,0.21,0.025,0.159,0.417,116.971,0.005,-0.023,-0.041,0.534,0.42,-0.145,-0.342,0.42
